sample;annotation
пелвка на перцем солью;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O'), (17, 22, 'O')]
кофе филе по отубями;[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE'), (10, 12, 'O'), (13, 20, 'O')]
чай в банке вкжсом;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O'), (12, 18, 'O')]
рикищи хенане хезоки;[(0, 6, 'O'), (7, 13, 'O'), (14, 20, 'O')]
ртиаша;[(0, 6, 'O')]
Тонене ярдом;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
булочи по глтюена;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
лита дуки;[(0, 4, 'O'), (5, 9, 'O')]
сосиски нрезка с кошек;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 16, 'O'), (17, 22, 'O')]
кабачки бепдо для чесноком;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 17, 'O'), (18, 26, 'O')]
Винеко рядом;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
сыр в тебе;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O')]
Тото тебе завтрак;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 17, 'O')]
кзио;[(0, 4, 'O')]
икна;[(0, 4, 'O')]
соль на отрубями;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 16, 'O')]
помидор нарезка из изюмом;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 18, 'O'), (19, 25, 'O')]
тамо берима;[(0, 4, 'O'), (5, 11, 'O')]
творжоки для отрубями;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 21, 'O')]
пили дулу зото;[(0, 4, 'O'), (5, 9, 'O'), (10, 14, 'O')]
творожки филе из шашлыка;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE'), (14, 16, 'O'), (17, 24, 'O')]
колбаса по всей;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
несаки расама;[(0, 6, 'O'), (7, 13, 'O')]
киса виам;[(0, 4, 'O'), (5, 9, 'O')]
вкии;[(0, 4, 'O')]
мофаие сахе;[(0, 6, 'O'), (7, 11, 'O')]
Нахера новый;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
макарофы нарезка с детей;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 18, 'O'), (19, 24, 'O')]
соль анрезка;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
уголь в аджике;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O')]
гречка бато с всей изюом;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 13, 'O'), (14, 18, 'O'), (19, 24, 'O')]
гречка из завтрак;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
лапиа по азвтрак кошек;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O'), (17, 22, 'O')]
речка грдука в семье отрубями;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE'), (13, 14, 'O'), (15, 20, 'O'), (21, 29, 'O')]
касабе налуви;[(0, 6, 'O'), (7, 13, 'O')]
рис без смье;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]
макароны для перцем;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
мука батон;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
Белуса рядом пакетах;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 20, 'O')]
прловка грудка по пакетах кошек;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 17, 'O'), (18, 25, 'O'), (26, 31, 'O')]
лашпа по завтрак;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O')]
соль спагетти без изюмом;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 17, 'O'), (18, 24, 'O')]
йогурт на шашлыка;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
печнеье;[(0, 7, 'B-TYPE')]
сакихе нанзао;[(0, 6, 'O'), (7, 13, 'O')]
макибе;[(0, 6, 'O')]
епрлвкка для собаки;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
бедумо;[(0, 6, 'O')]
тауо вири дубе;[(0, 4, 'O'), (5, 9, 'O'), (10, 14, 'O')]
кукица в вкум;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O')]
Монеки тебе;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
булочки столовый на кошек;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 19, 'O'), (20, 25, 'O')]
перлобка детский на кишек шашлыка;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 19, 'O'), (20, 25, 'O'), (26, 33, 'O')]
колбаса без шашлыка;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
пюре на аджике;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
буьочки по всей;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
оссиски;[(0, 7, 'B-TYPE')]
сто;[(0, 3, 'O')]
помидор с пакетах;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
уголь для изюмом;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
кетчуп стловый по чесноком;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 26, 'O')]
ворожки зрудка из окшмк;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 17, 'O'), (18, 23, 'O')]
муак из завтрак;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O')]
лаа в завтра;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 12, 'O')]
мка из отрубями;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 15, 'O')]
набе;[(0, 4, 'O')]
Нектса сейчас семье;[(0, 6, 'B-BRAND'), (7, 13, 'O'), (14, 19, 'O')]
сыр из шашлыка чесноком;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O'), (15, 23, 'O')]
офе десткий для завтрук;[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 15, 'O'), (16, 23, 'O')]
сыр из детей;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O')]
мука на аджкие пакеатх;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O'), (15, 22, 'O')]
Дулу тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
фамона;[(0, 6, 'O')]
творожки без семье;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
рис нарезка на чесноком;[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 14, 'O'), (15, 23, 'O')]
шаурму в собаки;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]
грчека;[(0, 6, 'B-TYPE')]
колбаса для кошек;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
лапеа в иесноком собак;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 16, 'O'), (17, 22, 'O')]
ссики в зюмом;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 13, 'O')]
колбаас;[(0, 7, 'B-TYPE')]
дуеоки нависа;[(0, 6, 'O'), (7, 13, 'O')]
Рбе тебе;[(0, 3, 'B-BRAND'), (4, 8, 'O')]
кабчаки;[(0, 7, 'B-TYPE')]
уголь на дтеей;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O')]
творжки по отрубями;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 19, 'O')]
пюре бедро в соблк;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 12, 'O'), (13, 18, 'O')]
сосиски с отрубями семье;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 18, 'O'), (19, 24, 'O')]
пмоидор на сееье перцем;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O'), (17, 23, 'O')]
визори луна;[(0, 6, 'O'), (7, 11, 'O')]
пеловка рамен по банке;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 16, 'O'), (17, 22, 'O')]
ыис без чесноком;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 16, 'O')]
Конеко акция трубмяи;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 20, 'O')]
акраоны без сбак;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O')]
герчка;[(0, 6, 'B-TYPE')]
кабачки по изюмом;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
макароны из пакетах;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 19, 'O')]
пеуенье столовый на шалыка;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 19, 'O'), (20, 26, 'O')]
куирца без чесноком;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]
лрита хесаки;[(0, 5, 'O'), (6, 12, 'O')]
пюре из собаки вкусом;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O'), (15, 21, 'O')]
Дувихо сейчас;[(0, 6, 'B-BRAND'), (7, 13, 'O')]
колбаса в банке семье;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O'), (16, 21, 'O')]
печенье на завртак;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
мдо без семье;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
осисски без чесноком;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O')]
Рики акция;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
мари;[(0, 4, 'O')]
кбачки из всей;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
сыр спагетит с пакетах;[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE'), (13, 14, 'O'), (15, 22, 'O')]
Мара ноый;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
булочки с отрубями;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 18, 'O')]
вина набеви;[(0, 4, 'O'), (5, 11, 'O')]
шалу лурихе хезо;[(0, 4, 'O'), (5, 11, 'O'), (12, 16, 'O')]
соль армен;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
Табе рядом;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
йогурт детский из банке;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 23, 'O')]
булочки для пактах ебе;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O'), (19, 22, 'O')]
ойяуът из сбоаки семье;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O'), (17, 22, 'O')]
кофе из собаки собаки;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O'), (15, 21, 'O')]
пеуеэье для аджике глютееа;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O'), (19, 26, 'O')]
нис по вкусом;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
печенье из чесноком;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 19, 'O')]
пюченье для всей;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O')]
вода с кошек чесноком;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O'), (13, 21, 'O')]
соль с пакетах;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
тоаэо сашамо сато;[(0, 5, 'O'), (6, 12, 'O'), (13, 17, 'O')]
пворожки;[(0, 8, 'B-TYPE')]
Лубе акция шашлыка;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 18, 'O')]
салаты без тебе всей;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O'), (16, 20, 'O')]
лапша бедр на осбаки;[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE'), (11, 13, 'O'), (14, 20, 'O')]
жидкистщ для тебе кошек;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O'), (18, 23, 'O')]
бемофа;[(0, 6, 'O')]
жидкость на изюмом завтрак;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O'), (19, 26, 'O')]
Фахе сечас банке;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 16, 'O')]
творожки с перцем;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
сосиски нарезка на оттубмяи;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 18, 'O'), (19, 27, 'O')]
йофурт из пакетах;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
творожки филе для семье кошек;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE'), (14, 17, 'O'), (18, 23, 'O'), (24, 29, 'O')]
кабачки на тебе;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
ршс по кошек всей;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O'), (13, 17, 'O')]
сыс с чесноком;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 14, 'O')]
рита;[(0, 4, 'O')]
аслаты в солью;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
кофе на чесноком;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 16, 'O')]
сфр бато с чесноком завтрак;[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE'), (9, 10, 'O'), (11, 19, 'O'), (20, 27, 'O')]
жидкость из перцем;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O')]
уголь грудка в банек свей;[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE'), (13, 14, 'O'), (15, 20, 'O'), (21, 25, 'O')]
ктечуп рамен по глютена;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 15, 'O'), (16, 23, 'O')]
колбаса по перцем;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
нарили бемзмо саду;[(0, 6, 'O'), (7, 13, 'O'), (14, 18, 'O')]
хлоьпя;[(0, 6, 'B-TYPE')]
соль бедро без перцем;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 14, 'O'), (15, 21, 'O')]
фаиа;[(0, 4, 'O')]
кокохе;[(0, 6, 'O')]
кимали;[(0, 6, 'O')]
булочки для глютена;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
лапша без собак;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]
лапша без завтаа;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
хлопья с пакетах шашлыка;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O'), (17, 24, 'O')]
салаты из вкусом;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
макароны без завтрак;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
сыр для детей;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
булочкч спагетти с всей;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 18, 'O'), (19, 23, 'O')]
цис с чесноком;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 14, 'O')]
жис по завтрак семье;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O'), (15, 20, 'O')]
лра фалу;[(0, 3, 'O'), (4, 8, 'O')]
курица для изсмом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
кетчуп из бакне;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
колбаса фермерсеий для отрубми;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 22, 'O'), (23, 30, 'O')]
сыз;[(0, 3, 'B-TYPE')]
шатоех дули квиики;[(0, 6, 'O'), (7, 11, 'O'), (12, 18, 'O')]
Сал рядом;[(0, 3, 'B-BRAND'), (4, 9, 'O')]
коф фермесркий с всей;[(0, 3, 'B-TYPE'), (4, 14, 'I-TYPE'), (15, 16, 'O'), (17, 21, 'O')]
фавихе тазобе;[(0, 6, 'O'), (7, 13, 'O')]
Молуки тебе;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
тамазо фааду;[(0, 6, 'O'), (7, 12, 'O')]
пюре без вкусо;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
кики кизохе мобехе;[(0, 4, 'O'), (5, 11, 'O'), (12, 18, 'O')]
соаиск для бынке;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
йогурт по шашлкыа;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
кабмчки из детей;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
уэоль без вкусом тебе;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O'), (17, 21, 'O')]
печеыье для пакетах;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
уоль без отрубяии;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 17, 'O')]
чал фермерский в пкетах;[(0, 3, 'B-TYPE'), (4, 14, 'I-TYPE'), (15, 16, 'O'), (17, 23, 'O')]
шголь с паетах завтрак;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O'), (15, 22, 'O')]
кабшчки с детей;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O')]
салаты из кошек глютна;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O'), (16, 22, 'O')]
помидор ръмен в глютена;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 15, 'O'), (16, 23, 'O')]
курица из семье изюмом;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O'), (16, 22, 'O')]
гречка для сбаки;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
лапша нарезка без перцем;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE'), (14, 17, 'O'), (18, 24, 'O')]
пюре с заатрак;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
либерт нета;[(0, 6, 'O'), (7, 11, 'O')]
кабчаки филп;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
йогурт по соль;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
мка спагетти по собак;[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE'), (13, 15, 'O'), (16, 21, 'O')]
рмаа тобе;[(0, 4, 'O'), (5, 9, 'O')]
колбаса без глютена;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
сыр по тебж изюмом;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 11, 'O'), (12, 18, 'O')]
гречка столовый;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
снр без семье;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
уфама томо хемоду;[(0, 5, 'O'), (6, 10, 'O'), (11, 17, 'O')]
вод с детей;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O')]
лпаша из вкусом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
кбачки;[(0, 6, 'B-TYPE')]
оссиски с аджике аджке;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O'), (17, 22, 'O')]
помидор бердо для изюмом;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 17, 'O'), (18, 24, 'O')]
творожки в пакетах шашлыка;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O'), (19, 26, 'O')]
дута вивико китоко;[(0, 4, 'O'), (5, 11, 'O'), (12, 18, 'O')]
кмлбаса на вкусом;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
булочки по соак аджике;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O'), (16, 22, 'O')]
чай для собаки;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 14, 'O')]
мааконы по соью;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
Шабе новый семье;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 16, 'O')]
гречка раен с виусом;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 13, 'O'), (14, 20, 'O')]
перловка рамен из чесноком вкусом;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 17, 'O'), (18, 26, 'O'), (27, 33, 'O')]
вода нарзек в всей;[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE'), (12, 13, 'O'), (14, 18, 'O')]
уголь по глютена;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O')]
Зохе сейчас;[(0, 4, 'B-BRAND'), (5, 11, 'O')]
чай из перцем;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
оашъа;[(0, 5, 'B-TYPE')]
кофе с тебе;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]
круица по семье;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
Зонета тебе;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
макшаны;[(0, 7, 'B-TYPE')]
булочки для паетах;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
грека по детей семье;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O'), (15, 20, 'O')]
тахе лури лик;[(0, 4, 'O'), (5, 9, 'O'), (10, 13, 'O')]
Томо новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
луви твоики;[(0, 4, 'O'), (5, 11, 'O')]
салаты для отрубями изюмом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O'), (20, 26, 'O')]
шара;[(0, 4, 'O')]
сыр для завтрак;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 15, 'O')]
лпша без собаки;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
речка на земье аджике;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O'), (15, 21, 'O')]
макароны для завтрак;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
творожки для еьме собаки;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O'), (18, 24, 'O')]
перовка на банке солюь;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O'), (17, 22, 'O')]
лапша в вкусом глютена;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O'), (15, 22, 'O')]
маароны из перцем;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
гечка с банке;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 13, 'O')]
творожки по чежноком собаки;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 20, 'O'), (21, 27, 'O')]
лапша на вкусом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
круица без чесноком;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]
виса нехеса вифа;[(0, 4, 'O'), (5, 11, 'O'), (12, 16, 'O')]
коеф для шашлыка завтра;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 16, 'O'), (17, 23, 'O')]
Вилибе ядом;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
йогурт фермерский на семье изюмом;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 20, 'O'), (21, 26, 'O'), (27, 33, 'O')]
помидор для июоё;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O')]
рир по перцем;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
печенье по изюмом;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
коыеду кокихе;[(0, 6, 'O'), (7, 13, 'O')]
киви;[(0, 4, 'O')]
хето корса виви;[(0, 4, 'O'), (5, 10, 'O'), (11, 15, 'O')]
соль из пакетах шашлыка;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O'), (16, 23, 'O')]
перловка без солью аджике;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O'), (19, 25, 'O')]
сосиски на аджике солью;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O'), (18, 23, 'O')]
макароны с кусом собаки;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O'), (17, 23, 'O')]
колбасш на собак перцем;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O'), (17, 23, 'O')]
Колуки акцяи;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
Сахефа ноывй изюмом;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 19, 'O')]
рис по солью;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O')]
куирца фермерскйи без весй вкусом;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 21, 'O'), (22, 26, 'O'), (27, 33, 'O')]
макароны с шашлыкг;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
мука на всей;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 12, 'O')]
кофе на аджике;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
печцнье ефрмерский на отрубями;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 21, 'O'), (22, 30, 'O')]
печенье детсикй в семье нбке;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 17, 'O'), (18, 23, 'O'), (24, 28, 'O')]
творожки батон по всей;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 17, 'O'), (18, 22, 'O')]
мука столовый из саобки банкц;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 16, 'O'), (17, 23, 'O'), (24, 29, 'O')]
лапша по глютена;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O')]
хлпоья грудка с глютена;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 15, 'O'), (16, 23, 'O')]
мука в всей;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]
Набе акция глютена;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 18, 'O')]
уголь на перцем;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
печенье с глютена июзмом;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O'), (18, 24, 'O')]
пюре фермерский из кошек;[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE'), (16, 18, 'O'), (19, 24, 'O')]
перловка без азвтак;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
Тарико акиця;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
малта;[(0, 5, 'O')]
рис без ослью;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
